Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status,Delivery_fee,Service_fee,Packaging_fee,Estimated_delivery_time,Average_delivery_time,Peak_hour_multiplier,Minimum_order,Cancellation_rate,Availability,Average_menu_price,Popularity_score,Estimated_value_score,Total_Promo_Events,Avg_Discount_Nominal,Max_Discount_Nominal,Avg_Price_Markdown_Pct,Cost_of_living_index,Average_income,Currency,Region,FX_Rate,Minimum_order_USD,Average_menu_price_USD,Avg_Discount_USD,Promo_Attractiveness_Score,Min_Order_Friction_Ratio,Normalized_Review_Score,Composite_Volume_Index,Promo_Strategy_Segment
RES000000,Thai Chain 0,Chain,Thai,21.088989,-18.27787,New York,USA,1988,True,False,False,False,1,2.9,2797,Operational,7.28,0.33,0.34,28.0,23.0,1.66,0.23,0.02,False,19.36,95.0,7.2,1.0,0.0,0.0,0.0,100,85000,USD,North America,1.0,0.23,19.36,0.0,50.4,0.01188016467561133,93.18179865005887,94.27271946002355,"Growth Driver (High Promo, Low Barrier)"
RES000001,Los Angeles Italian Place 1,Local,Italian,23.751067,-77.557706,Los Angeles,USA,1995,True,False,True,False,3,4.9,4003,Operational,9.77,0.31,1.88,15.0,24.0,1.6,7.65,0.04,True,70.93,82.4,6.6,6.0,0.0,0.0,0.0,95,75000,USD,North America,1.0,7.65,70.93,0.0,46.199999999999996,0.10785281111161975,97.3895295601723,88.39581182406893,"Growth Driver (High Promo, Low Barrier)"
RES000002,Italian Chain 2,Chain,Italian,-15.358159,-29.960047,Manchester,United Kingdom,1952,False,False,True,True,3,3.1,1790,Operational,,,,,,,,,,51.78,76.4,1.5,3.0,0.0,0.0,0.0,75,35000,GBP,Europe,1.28,,66.2784,0.0,10.5,,87.94391959262897,81.01756783705159,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000003,London Chinese Place 3,Local,Chinese,74.936488,-120.822638,London,United Kingdom,1961,False,True,True,False,4,3.5,2646,Operational,,,,,,,,,,93.31,35.8,7.0,4.0,0.0,0.0,0.0,90,50000,GBP,Europe,1.28,,119.4368,0.0,49.0,,92.53044967647283,58.492179870589126,"Growth Driver (High Promo, Low Barrier)"
RES000004,Chinese Chain 4,Chain,Chinese,0.051366,7.625973,Osaka,Japan,2012,True,True,True,False,1,2.6,3843,Operational,10.0,1.13,1.83,58.0,65.0,1.05,15.15,0.047,False,20.09,97.3,1.0,3.0,0.0,0.0,0.0,80,40000,JPY,Asia,0.0065,0.098475,0.130585,0.0,7.0,0.7541007458686229,96.91074022258752,97.14429608903501,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000005,Osaka French Place 5,Local,French,72.49656,172.851715,Osaka,Japan,1990,True,True,False,True,2,4.3,227,Operational,3.09,4.74,0.87,15.0,16.0,1.67,12.6,0.039,False,39.33,32.2,9.5,4.0,0.0,0.0,0.0,80,40000,JPY,Asia,0.0065,0.0819,0.25564499999999996,0.0,66.5,0.3203648795600167,63.744217505107514,44.81768700204301,"Basket Maximizer (High Promo, High Barrier)"
RES000006,Sao Paulo Brazilian Place 6,Local,Brazilian,40.445061,60.883749,Sao Paulo,Brazil,2023,True,True,False,True,4,2.8,1494,Operational,2.56,1.85,1.79,37.0,46.0,2.5,5.89,0.065,True,78.91,73.8,1.6,3.0,0.0,0.0,0.0,50,12000,BRL,South America,0.18,1.0601999999999998,14.2038,0.0,11.200000000000001,0.07464199195694166,85.82298995370951,78.6091959814838,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000007,American Chain 7,Chain,American,-1.386193,-59.968194,New York,USA,2016,True,False,False,True,2,3.0,4986,Operational,7.49,0.79,1.98,23.0,33.0,2.35,3.66,0.042,False,44.05,72.7,5.5,5.0,0.0,0.0,0.0,100,85000,USD,North America,1.0,3.66,44.05,0.0,38.5,0.08308739879483773,99.96708657430318,83.60683462972128,"Growth Driver (High Promo, Low Barrier)"
RES000008,Osaka Mediterranean Place 8,Local,Mediterranean,-69.986664,43.23136,Osaka,Japan,1957,True,False,False,False,1,2.3,4804,Operational,5.58,1.38,1.89,70.0,70.0,1.56,11.73,0.076,False,23.06,36.0,9.1,5.0,0.0,0.0,0.0,80,40000,JPY,Asia,0.0065,0.076245,0.14989,0.0,63.699999999999996,0.5086696332668406,99.53059757592649,61.4122390303706,"Basket Maximizer (High Promo, High Barrier)"
RES000009,Sao Paulo American Place 9,Local,American,72.664066,-102.051267,Sao Paulo,Brazil,1994,True,False,False,True,2,3.6,1308,Operational,1.53,3.26,0.69,28.0,38.0,1.2,23.6,0.02,True,36.5,91.2,4.0,2.0,0.0,0.0,0.0,50,12000,BRL,South America,0.18,4.248,6.569999999999999,0.0,28.0,0.6465752440524744,84.2630910827648,88.42523643310592,"Strict Gatekeeper (Low Promo, High Barrier)"
