City,Country,Cuisine,Restaurant_Count,Avg_Rating,Avg_Popularity,Avg_Reviews,Avg_Price_Level,Avg_Menu_Price,Income_Level,COL_Index,Cuisine_Diversity,Total_City_Restaurants,Supply_Share_Pct,Demand_Score,Whitespace_Opportunity_Score,Market_Classification,Expansion_Recommendation
Delhi,India,Thai,31,3.480645161290323,60.980645161290326,2429.7419354838707,2.4516129032258065,58.34322580645161,14000,38,0.543,509,6.090373280943026,70.7999310851916,25.03155877145438,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran Thai berkonsep Mid-tier ($$) di Delhi untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Delhi,India,Italian,30,3.4633333333333334,53.88666666666666,2565.0,2.8,64.41333333333334,14000,38,0.543,509,5.893909626719057,67.28400466168533,24.94878012692375,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran Italian berkonsep Premium ($$$) di Delhi untuk menangkap gap permintaan tinggi dengan persaingan rendah.
London,United Kingdom,French,31,3.4387096774193546,52.438709677419354,2327.7419354838707,2.2903225806451615,54.21225806451613,50000,90,0.837,520,5.961538461538462,66.17053225859644,24.14106647638289,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran French berkonsep Mid-tier ($$) di London untuk menangkap gap permintaan tinggi dengan persaingan rendah.
London,United Kingdom,Mediterranean,37,3.516216216216216,40.95675675675676,2688.7837837837837,2.4594594594594597,55.54027027027026,50000,90,0.837,520,7.115384615384615,61.25374074674053,16.4262169907543,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran Mediterranean berkonsep Mid-tier ($$) di London untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Los Angeles,USA,Brazilian,24,3.3791666666666664,51.85,3059.75,2.5,55.94833333333333,75000,95,0.526,492,4.878048780487805,66.2,30.730679011581003,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran Brazilian berkonsep Premium ($$$) di Los Angeles untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Los Angeles,USA,Japanese,28,3.5964285714285715,50.378571428571426,2682.5714285714284,2.4642857142857144,54.87285714285714,75000,95,0.526,492,5.691056910569105,66.44016053187251,25.837813081949502,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran Japanese berkonsep Mid-tier ($$) di Los Angeles untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Manchester,United Kingdom,Chinese,33,3.242424242424242,48.736363636363635,2523.909090909091,2.696969696969697,61.446363636363635,35000,75,0.585,499,6.613226452905812,63.34317340169509,19.57409588272901,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran Chinese berkonsep Premium ($$$) di Manchester untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Manchester,United Kingdom,Burger,36,3.408333333333333,58.30555555555556,2823.9166666666665,2.3333333333333335,50.76083333333333,35000,75,0.585,499,7.214428857715431,69.4029846803443,18.068375714360307,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran Burger berkonsep Mid-tier ($$) di Manchester untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Mumbai,India,American,33,3.672727272727273,45.869696969696975,2740.939393939394,2.3636363636363638,52.20242424242424,15000,40,0.907,474,6.962025316455696,64.69713084746977,18.14347128560079,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran American berkonsep Mid-tier ($$) di Mumbai untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Mumbai,India,Indian,34,3.6323529411764706,43.620588235294115,2299.0882352941176,2.3823529411764706,51.76911764705883,15000,40,0.907,474,7.172995780590717,62.89248124718087,16.578758522182333,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran Indian berkonsep Mid-tier ($$) di Mumbai untuk menangkap gap permintaan tinggi dengan persaingan rendah.
New York,USA,French,33,3.533333333333333,57.70909090909091,2346.909090909091,2.484848484848485,56.052121212121214,85000,100,0.991,488,6.762295081967213,69.3938898773289,20.588429602394584,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran French berkonsep Mid-tier ($$) di New York untuk menangkap gap permintaan tinggi dengan persaingan rendah.
New York,USA,American,37,3.5081081081081082,50.38648648648648,2235.2162162162163,2.4054054054054053,54.72405405405405,85000,100,0.991,488,7.581967213114754,65.45978748961522,15.185450385215228,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran American berkonsep Mid-tier ($$) di New York untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Osaka,Japan,Mediterranean,32,3.171875,43.903125,2600.8125,2.78125,66.0571875,40000,80,0.984,525,6.095238095238095,60.57801992171989,21.391910504565523,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran Mediterranean berkonsep Premium ($$$) di Osaka untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Osaka,Japan,Indian,37,3.472972972972973,40.76216216216216,2174.3513513513512,2.6486486486486487,61.841351351351356,40000,80,0.984,525,7.0476190476190474,60.368053917696216,16.514653566264705,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran Indian berkonsep Premium ($$$) di Osaka untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Rio de Janeiro,Brazil,Italian,28,3.310714285714286,68.88928571428572,2544.75,2.392857142857143,54.69571428571429,11000,55,0.546,498,5.622489959839357,73.84985767647353,29.17571147266333,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran Italian berkonsep Mid-tier ($$) di Rio de Janeiro untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Rio de Janeiro,Brazil,Japanese,32,3.21875,40.925,2377.6875,2.75,61.196875,11000,55,0.546,498,6.425702811244979,59.14679647268889,19.20849639766405,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran Japanese berkonsep Premium ($$$) di Rio de Janeiro untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Sao Paulo,Brazil,Burger,33,3.675757575757576,53.71515151515151,2844.151515151515,2.0303030303030303,45.233636363636364,12000,50,0.811,493,6.693711967545639,68.73011303343888,20.77986922820728,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran Burger berkonsep Mid-tier ($$) di Sao Paulo untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Sao Paulo,Brazil,Brazilian,34,3.179411764705882,50.773529411764706,2366.6470588235293,2.6470588235294117,59.06588235294117,12000,50,0.811,493,6.896551724137931,63.82343953037583,18.236338627147884,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran Brazilian berkonsep Premium ($$$) di Sao Paulo untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Tokyo,Japan,Italian,34,3.664705882352941,47.03823529411765,2275.6470588235293,2.7058823529411766,59.89970588235294,45000,85,0.547,502,6.772908366533864,64.76989742231494,19.160107825628014,"🧪 Niche / Emerging Market (Low Demand, Low Supply)",Buka restoran Italian berkonsep Premium ($$$) di Tokyo untuk menangkap gap permintaan tinggi dengan persaingan rendah.
Tokyo,Japan,Brazilian,38,3.7184210526315793,56.46315789473684,2165.1315789473683,2.0526315789473686,47.38789473684211,45000,85,0.547,502,7.569721115537849,69.68065696157963,16.229223533478827,"🔥 High Opportunity Whitespace (High Demand, Low Supply)",Buka restoran Brazilian berkonsep Mid-tier ($$) di Tokyo untuk menangkap gap permintaan tinggi dengan persaingan rendah.
