Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status,Average_menu_price,Popularity_score,Estimated_value_score,Delivery_fee,Service_fee,Packaging_fee,Minimum_order,Average_delivery_time,Cancellation_rate,WiFi,24_hours,Drive_through,Cost_of_living_index,Average_income,Urban_density,Currency,Region,FX_Rate,Average_menu_price_USD,Delivery_fee_USD,Service_fee_USD,Minimum_order_USD,Average_menu_price_PPP,Membership_Status,Customer_Loyalty_Index,Est_Total_Order_Cost_USD,Price_Transparency_Ratio
RES000000,Thai Chain 0,Chain,Thai,21.088989,-18.27787,New York,USA,1988,True,False,False,False,1,2.9,2797,Operational,19.36,95.0,7.2,7.28,0.33,0.34,0.23,23.0,0.02,True,True,True,100,85000,10700,USD,North America,1.0,19.36,7.28,0.33,0.23,19.36,Membership Partner,83.35453959501766,19.36,3.719008072365286
RES000001,Los Angeles Italian Place 1,Local,Italian,23.751067,-77.557706,Los Angeles,USA,1995,True,False,True,False,3,4.9,4003,Operational,70.93,82.4,6.6,9.77,0.31,1.88,7.65,24.0,0.04,False,True,True,95,75000,2990,USD,North America,1.0,70.93,9.77,0.31,7.65,74.66315789473686,Standard Non-Member,91.5768588680517,80.7,0.9304948409629938
RES000002,Italian Chain 2,Chain,Italian,-15.358159,-29.960047,Manchester,United Kingdom,1952,False,False,True,True,3,3.1,1790,Operational,51.78,76.4,1.5,,,,,,,True,True,True,75,35000,4800,GBP,Europe,1.28,66.2784,,,,88.3712,Standard Non-Member,75.54317587778868,66.2784,0.22631807306274634
RES000003,London Chinese Place 3,Local,Chinese,74.936488,-120.822638,London,United Kingdom,1961,False,True,True,False,4,3.5,2646,Operational,93.31,35.8,7.0,,,,,,,False,False,False,90,50000,5700,GBP,Europe,1.28,119.4368,,,,132.70755555555556,Standard Non-Member,63.079134902941846,119.4368,0.5860840160981874
RES000004,Chinese Chain 4,Chain,Chinese,0.051366,7.625973,Osaka,Japan,2012,True,True,True,False,1,2.6,3843,Operational,20.09,97.3,1.0,10.0,1.13,1.83,15.15,65.0,0.047,True,False,False,80,40000,12067,JPY,Asia,0.0065,0.130585,0.065,0.007344999999999999,0.098475,0.16323125,Membership Partner,83.59322206677625,0.130585,76.57788736924326
RES000005,Osaka French Place 5,Local,French,72.49656,172.851715,Osaka,Japan,1990,True,True,False,True,2,4.3,227,Operational,39.33,32.2,9.5,3.09,4.74,0.87,12.6,16.0,0.039,True,False,True,80,40000,12067,JPY,Asia,0.0065,0.25564499999999996,0.020085,0.03081,0.0819,0.31955625,Standard Non-Member,57.80326525153225,0.27573,371.607613653255
RES000006,Sao Paulo Brazilian Place 6,Local,Brazilian,40.445061,60.883749,Sao Paulo,Brazil,2023,True,True,False,True,4,2.8,1494,Operational,78.91,73.8,1.6,2.56,1.85,1.79,5.89,46.0,0.065,True,False,False,50,12000,8100,BRL,South America,0.18,14.2038,0.4608,0.333,1.0601999999999998,28.4076,Standard Non-Member,72.06689698611285,14.6646,1.1264590372675598
RES000007,American Chain 7,Chain,American,-1.386193,-59.968194,New York,USA,2016,True,False,False,True,2,3.0,4986,Operational,44.05,72.7,5.5,7.49,0.79,1.98,3.66,33.0,0.042,True,False,False,100,85000,10700,USD,North America,1.0,44.05,7.49,0.79,3.66,44.05,Standard Non-Member,77.07012597229095,51.54,1.2485811294306215
RES000008,Osaka Mediterranean Place 8,Local,Mediterranean,-69.986664,43.23136,Osaka,Japan,1957,True,False,False,False,1,2.3,4804,Operational,23.06,36.0,9.1,5.58,1.38,1.89,11.73,70.0,0.076,False,True,True,80,40000,12067,JPY,Asia,0.0065,0.14989,0.03627,0.008969999999999999,0.076245,0.1873625,Standard Non-Member,58.059179272777946,0.18616,607.1078316910289
RES000009,Sao Paulo American Place 9,Local,American,72.664066,-102.051267,Sao Paulo,Brazil,1994,True,False,False,True,2,3.6,1308,Operational,36.5,91.2,4.0,1.53,3.26,0.69,23.6,38.0,0.02,False,False,False,50,12000,8100,BRL,South America,0.18,6.569999999999999,0.2754,0.5868,4.248,13.139999999999999,Membership Partner,83.35892732482944,6.569999999999999,6.08827913420409
