Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status,Delivery_fee,Service_fee,Packaging_fee,Estimated_delivery_time,Average_delivery_time,Peak_hour_multiplier,Minimum_order,Cancellation_rate,Availability,Estimated_value_score,Avg_Current_Price,Avg_Previous_Price,Avg_Price_Change,Price_Change_Pct,Cost_of_living_index,Average_income,Currency,Region,FX_Rate,Delivery_fee_USD,Service_fee_USD,Packaging_fee_USD,Minimum_order_USD,Avg_Current_Price_USD,Avg_Previous_Price_USD,Delivery_Platform,Total_Platform_Fees_USD,Fee_Overhead_Pct,Menu_Markup_Pct,Total_Consumer_Markup_Pct
RES000000,Thai Chain 0,Chain,Thai,21.088989,-18.27787,New York,USA,1988,True,False,False,False,1,2.9,2797,Operational,7.28,0.33,0.34,28.0,23.0,1.66,0.23,0.02,False,7.2,13.75,11.51,2.24,19.4613362761654,100,85000,USD,North America,1.0,7.28,0.33,0.34,0.23,13.75,11.51,Uber Eats,7.95,57.818177613223455,19.4613362761654,77.27951388938885
RES000001,Los Angeles Italian Place 1,Local,Italian,23.751067,-77.557706,Los Angeles,USA,1995,True,False,True,False,3,4.9,4003,Operational,9.77,0.31,1.88,15.0,24.0,1.6,7.65,0.04,True,6.6,65.29166666666667,58.596666666666664,6.695,11.27069067009428,95,75000,USD,North America,1.0,9.77,0.31,1.88,7.65,65.29166666666667,58.596666666666664,DoorDash,11.96,18.317804441846008,11.27069067009428,29.58849511194029
RES000002,Italian Chain 2,Chain,Italian,-15.358159,-29.960047,Manchester,United Kingdom,1952,False,False,True,True,3,3.1,1790,Operational,,,,,,,,,,1.5,51.43,46.01666666666667,5.413333333333334,13.102643873315287,75,35000,GBP,Europe,1.28,,,,,65.8304,58.90133333333334,Deliveroo,0.0,0.0,13.102643873315287,13.102643873315287
RES000003,London Chinese Place 3,Local,Chinese,74.936488,-120.822638,London,United Kingdom,1961,False,True,True,False,4,3.5,2646,Operational,,,,,,,,,,7.0,115.53,99.475,16.055,15.956731679496764,90,50000,GBP,Europe,1.28,,,,,147.8784,127.32799999999999,Uber Eats UK,0.0,0.0,15.956731679496764,15.956731679496764
RES000004,Chinese Chain 4,Chain,Chinese,0.051366,7.625973,Osaka,Japan,2012,True,True,True,False,1,2.6,3843,Operational,10.0,1.13,1.83,58.0,65.0,1.05,15.15,0.047,False,1.0,17.55666666666667,14.773333333333333,2.783333333333333,17.355267565825173,80,40000,JPY,Asia,0.0065,0.065,0.007344999999999999,0.011895,0.098475,0.11411833333333334,0.09602666666666666,Uber Eats JP,0.08424000000000001,73.81746592747943,17.355267565825173,91.1727334933046
RES000005,Osaka French Place 5,Local,French,72.49656,172.851715,Osaka,Japan,1990,True,True,False,True,2,4.3,227,Operational,3.09,4.74,0.87,15.0,16.0,1.67,12.6,0.039,False,9.5,42.0625,37.8475,4.215,11.598335109133501,80,40000,JPY,Asia,0.0065,0.020085,0.03081,0.0056549999999999994,0.0819,0.27340624999999996,0.24600874999999997,Demae-can,0.056549999999999996,20.683431035570568,11.598335109133501,32.281766144704065
RES000006,Sao Paulo Brazilian Place 6,Local,Brazilian,40.445061,60.883749,Sao Paulo,Brazil,2023,True,True,False,True,4,2.8,1494,Operational,2.56,1.85,1.79,37.0,46.0,2.5,5.89,0.065,True,1.6,129.05666666666667,118.28000000000002,10.776666666666666,9.123785462652252,50,12000,BRL,South America,0.18,0.4608,0.333,0.3222,1.0601999999999998,23.2302,21.2904,iFood,1.116,4.804091019272713,9.123785462652252,13.927876481924965
RES000007,American Chain 7,Chain,American,-1.386193,-59.968194,New York,USA,2016,True,False,False,True,2,3.0,4986,Operational,7.49,0.79,1.98,23.0,33.0,2.35,3.66,0.042,False,5.5,41.732,36.489999999999995,5.242,16.07503841731213,100,85000,USD,North America,1.0,7.49,0.79,1.98,3.66,41.732,36.489999999999995,DoorDash,10.260000000000002,24.585449425250427,16.07503841731213,40.66048784256256
RES000008,Osaka Mediterranean Place 8,Local,Mediterranean,-69.986664,43.23136,Osaka,Japan,1957,True,False,False,False,1,2.3,4804,Operational,5.58,1.38,1.89,70.0,70.0,1.56,11.73,0.076,False,9.1,20.86,16.928,3.932,23.61426127676051,80,40000,JPY,Asia,0.0065,0.03627,0.008969999999999999,0.012284999999999999,0.076245,0.13559,0.110032,Uber Eats JP,0.05752499999999999,42.425382215633775,23.61426127676051,66.03964349239428
RES000009,Sao Paulo American Place 9,Local,American,72.664066,-102.051267,Sao Paulo,Brazil,1994,True,False,False,True,2,3.6,1308,Operational,1.53,3.26,0.69,28.0,38.0,1.2,23.6,0.02,True,4.0,50.629999999999995,42.865,7.765000000000001,16.87001958779903,50,12000,BRL,South America,0.18,0.2754,0.5868,0.12419999999999999,4.248,9.113399999999999,7.7157,Rappi,0.9863999999999999,10.823621170625545,16.87001958779903,27.69364075842458
RES000010,New York Mexican Place 10,Local,Mexican,47.651833,-159.986456,New York,USA,1955,False,True,False,False,1,4.4,3515,Operational,,,,,,,,,,8.1,20.4875,17.605,2.8825000000000003,15.095066933916035,100,85000,USD,North America,1.0,,,,,20.4875,17.605,Uber Eats,0.0,0.0,15.095066933916035,15.095066933916035
