Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status,Delivery_fee,Service_fee,Packaging_fee,Estimated_delivery_time,Average_delivery_time,Peak_hour_multiplier,Minimum_order,Cancellation_rate,Availability,24_hours,Drive_through,Population,Area_km2,Urban_density,Tourism_index,Average_income,Cost_of_living_index,Weather_zone,Restaurant_density,Cuisine_diversity_index,Delivery_coverage,Currency,Region,FX_Rate,Base_Delivery_Fee_USD,Service_Fee_USD,Packaging_Fee_USD,Peak_Delivery_Fee_USD,Surge_Dollar_Delta_USD,Surge_Intensity_Pct,Surge_Zone_Category
RES000000,Thai Chain 0,Chain,Thai,21.088989,-18.27787,New York,USA,1988,True,False,False,False,1,2.9,2797,Operational,7.28,0.33,0.34,28,23,1.66,0.23,0.02,False,True,True,8419000,783.8,10700,1.2,85000,100,Humid subtropical,45.77,0.991,0.866,USD,North America,1.0,7.28,0.33,0.34,12.0848,4.804799999999999,65.99999999999999,High Surge (1.5x - 1.99x)
RES000001,Los Angeles Italian Place 1,Local,Italian,23.751067,-77.557706,Los Angeles,USA,1995,True,False,True,False,3,4.9,4003,Operational,9.77,0.31,1.88,15,24,1.6,7.65,0.04,True,True,True,3898000,1302.0,2990,1.1,75000,95,Mediterranean,23.33,0.526,0.849,USD,North America,1.0,9.77,0.31,1.88,15.632,5.862,60.00000000000001,High Surge (1.5x - 1.99x)
RES000004,Chinese Chain 4,Chain,Chinese,0.051366,7.625973,Osaka,Japan,2012,True,True,True,False,1,2.6,3843,Operational,10.0,1.13,1.83,58,65,1.05,15.15,0.047,False,False,False,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.065,0.007344999999999999,0.011895,0.06825,0.003250000000000003,5.000000000000004,Baseline (< 1.1x)
RES000005,Osaka French Place 5,Local,French,72.49656,172.851715,Osaka,Japan,1990,True,True,False,True,2,4.3,227,Operational,3.09,4.74,0.87,15,16,1.67,12.6,0.039,False,False,True,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.020085,0.03081,0.0056549999999999994,0.033541949999999994,0.013456949999999995,67.0,High Surge (1.5x - 1.99x)
RES000006,Sao Paulo Brazilian Place 6,Local,Brazilian,40.445061,60.883749,Sao Paulo,Brazil,2023,True,True,False,True,4,2.8,1494,Operational,2.56,1.85,1.79,37,46,2.5,5.89,0.065,True,False,False,12325000,1521.0,8100,0.8,12000,50,Humid subtropical,17.87,0.811,0.692,BRL,South America,0.18,0.4608,0.333,0.3222,1.152,0.6911999999999999,150.0,Critical Surge (>= 2.0x)
RES000007,American Chain 7,Chain,American,-1.386193,-59.968194,New York,USA,2016,True,False,False,True,2,3.0,4986,Operational,7.49,0.79,1.98,23,33,2.35,3.66,0.042,False,False,False,8419000,783.8,10700,1.2,85000,100,Humid subtropical,45.77,0.991,0.866,USD,North America,1.0,7.49,0.79,1.98,17.6015,10.111500000000001,135.0,Critical Surge (>= 2.0x)
RES000008,Osaka Mediterranean Place 8,Local,Mediterranean,-69.986664,43.23136,Osaka,Japan,1957,True,False,False,False,1,2.3,4804,Operational,5.58,1.38,1.89,70,70,1.56,11.73,0.076,False,True,True,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.03627,0.008969999999999999,0.012284999999999999,0.0565812,0.0203112,56.00000000000001,High Surge (1.5x - 1.99x)
RES000009,Sao Paulo American Place 9,Local,American,72.664066,-102.051267,Sao Paulo,Brazil,1994,True,False,False,True,2,3.6,1308,Operational,1.53,3.26,0.69,28,38,1.2,23.6,0.02,True,False,False,12325000,1521.0,8100,0.8,12000,50,Humid subtropical,17.87,0.811,0.692,BRL,South America,0.18,0.2754,0.5868,0.12419999999999999,0.33047999999999994,0.05507999999999996,19.999999999999996,Moderate Surge (1.1x - 1.49x)
RES000011,Osaka Japanese Place 11,Local,Japanese,-50.432663,54.882225,Osaka,Japan,2001,True,False,True,True,1,4.6,2510,Operational,9.28,1.82,0.7,47,43,1.86,20.0,0.081,False,False,False,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.06031999999999999,0.01183,0.004549999999999999,0.1121952,0.0518752,86.00000000000001,High Surge (1.5x - 1.99x)
RES000013,Italian Chain 13,Chain,Italian,-42.562566,100.414024,Los Angeles,USA,1993,True,False,False,True,4,4.6,2458,Operational,5.25,0.49,1.26,61,67,2.23,0.01,0.086,False,True,True,3898000,1302.0,2990,1.1,75000,95,Mediterranean,23.33,0.526,0.849,USD,North America,1.0,5.25,0.49,1.26,11.7075,6.4575,123.0,Critical Surge (>= 2.0x)
