Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status,Popularity_score,Estimated_value_score,Average_menu_price,Delivery_fee,Average_delivery_time,Cancellation_rate,24_hours,Drive_through,Cost_of_living_index,Average_income,Urban_density,Currency,Region,Is_Sponsored,Visibility_Index,Ad_Rating_Integrity,Estimated_Ad_ROI,Performance_Quadrant
RES000000,Thai Chain 0,Chain,Thai,21.088989,-18.27787,New York,USA,1988,True,False,False,False,1,2.9,2797,Operational,95.0,7.2,19.36,7.28,23.0,0.02,True,True,100,85000,10700,USD,North America,True,94.09089932502943,1.4347988094605741,27.286360804258532,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000001,Los Angeles Italian Place 1,Local,Italian,23.751067,-77.557706,Los Angeles,USA,1995,True,False,True,False,3,4.9,4003,Operational,82.4,6.6,70.93,9.77,24.0,0.04,True,True,95,75000,2990,USD,North America,False,89.89476478008615,2.4927862185258385,14.682811580747405,"Market Leader (High Vis, High Rating)"
RES000002,Italian Chain 2,Chain,Italian,-15.358159,-29.960047,Manchester,United Kingdom,1952,False,False,True,True,3,3.1,1790,Operational,76.4,1.5,51.78,,,,True,True,75,35000,4800,GBP,Europe,False,82.1719597963145,1.6008148726234963,8.491102512285831,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000003,London Chinese Place 3,Local,Chinese,74.936488,-120.822638,London,United Kingdom,1961,False,True,True,False,4,3.5,2646,Operational,35.8,7.0,93.31,,,,False,False,90,50000,5700,GBP,Europe,False,64.16522483823641,2.1073350288468373,5.614457173345686,"Hidden Gem (Low Vis, High Rating)"
RES000004,Chinese Chain 4,Chain,Chinese,0.051366,7.625973,Osaka,Japan,2012,True,True,True,False,1,2.6,3843,Operational,97.3,1.0,20.09,10.0,65.0,0.047,False,False,80,40000,12067,JPY,Asia,False,97.10537011129375,1.2804099064303904,25.247396228936374,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000005,Osaka French Place 5,Local,French,72.49656,172.851715,Osaka,Japan,1990,True,True,False,True,2,4.3,227,Operational,32.2,9.5,39.33,3.09,16.0,0.039,False,True,80,40000,12067,JPY,Asia,False,47.97210875255376,2.645645148079529,10.314003381799058,"Hidden Gem (Low Vis, High Rating)"
RES000006,Sao Paulo Brazilian Place 6,Local,Brazilian,40.445061,60.883749,Sao Paulo,Brazil,2023,True,True,False,True,4,2.8,1494,Operational,73.8,1.6,78.91,2.56,46.0,0.065,False,False,50,12000,8100,BRL,South America,False,79.81149497685476,1.4558734996062248,5.586804648379833,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000007,American Chain 7,Chain,American,-1.386193,-59.968194,New York,USA,2016,True,False,False,True,2,3.0,4986,Operational,72.7,5.5,44.05,7.49,33.0,0.042,False,False,100,85000,10700,USD,North America,True,86.3335432871516,1.564532662385964,12.95003149307274,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000008,Osaka Mediterranean Place 8,Local,Mediterranean,-69.986664,43.23136,Osaka,Japan,1957,True,False,False,False,1,2.3,4804,Operational,36.0,9.1,23.06,5.58,70.0,0.076,True,True,80,40000,12067,JPY,Asia,False,67.76529878796325,1.3832441238144537,15.586018721231545,"Struggling Organic (Low Vis, Low Rating)"
RES000009,Sao Paulo American Place 9,Local,American,72.664066,-102.051267,Sao Paulo,Brazil,1994,True,False,False,True,2,3.6,1308,Operational,91.2,4.0,36.5,1.53,38.0,0.02,False,False,50,12000,8100,BRL,South America,False,87.7315455413824,1.7953495845143832,15.791678197448832,"Market Leader (High Vis, High Rating)"
RES000010,New York Mexican Place 10,Local,Mexican,47.651833,-159.986456,New York,USA,1955,False,True,False,False,1,4.4,3515,Operational,35.5,8.1,19.12,,,,True,True,100,85000,10700,USD,North America,False,65.68179729100645,2.653781517347404,28.899990808042837,"Hidden Gem (Low Vis, High Rating)"
RES000011,Osaka Japanese Place 11,Local,Japanese,-50.432663,54.882225,Osaka,Japan,2001,True,False,True,True,1,4.6,2510,Operational,11.2,1.0,25.24,9.28,43.0,0.081,False,False,80,40000,12067,JPY,Asia,False,51.55558876762204,3.4682014831287926,23.715570833106135,"Hidden Gem (Low Vis, High Rating)"
RES000012,Mexican Chain 12,Chain,Mexican,-7.983916,166.02172,Delhi,India,1967,False,True,False,True,3,4.1,3699,Operational,23.0,9.1,75.67,,,,False,True,38,14000,11312,INR,Asia,True,59.73123656074929,2.700008141070937,8.163268996635734,"Hidden Gem (Low Vis, High Rating)"
RES000013,Italian Chain 13,Chain,Italian,-42.562566,100.414024,Los Angeles,USA,1993,True,False,False,True,4,4.6,2458,Operational,15.5,5.8,85.92,5.25,67.0,0.086,True,True,95,75000,2990,USD,North America,False,53.58274415706906,3.2704362548539327,6.162015578062941,"Hidden Gem (Low Vis, High Rating)"
RES000014,Sao Paulo Italian Place 14,Local,Italian,72.756401,100.15703,Sao Paulo,Brazil,2005,False,False,True,True,2,2.5,2577,Operational,9.7,2.0,43.51,,,,False,False,50,12000,8100,BRL,South America,True,50.96017141874299,1.931297974002078,6.3700214273428735,"Struggling Organic (Low Vis, Low Rating)"
